obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,precip,soil_type,ox_ult,pH,sand_perc,bnf_input,treat_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,sample_cm,N_in_kg,NO3_kg_seas,NO3_kg_seas_zero_rm,SE,approx_num_measurements,num_replicates,duration_d,irrig_1_0,irrig_in,tropical,org_Nfix_in,split_app,crop,crop_type,pct_sand_0.15m_ISRIC,pct_sand_combined,MAP_mm_global,MAP_mm_combined,water_input_mm
138,this study,"Paulino-Paulino, J; Harmsen, EW; Sotomayor-Ramirez, D; Rivera, LE",Nitrate leaching under different levels of irrigation for three turfgrasses in southern Puerto Rico,2008,SCA,"Juana DÌ_az, Puerto Rico",18.01666667,-66.5,,1939,Cumulic Haplustolls,0,7.4,,,Centipede 75% irrigation,inorganic,165,,,,,90,165,57.3,57.3,,26,9,365,1,0,1,0,1,,pasture,33,33,NA,NA,1939
139,this study,"Paulino-Paulino, J; Harmsen, EW; Sotomayor-Ramirez, D; Rivera, LE",Nitrate leaching under different levels of irrigation for three turfgrasses in southern Puerto Rico,2008,SCA,"Juana DÌ_az, Puerto Rico",18.01666667,-66.5,,1939,Cumulic Haplustolls,0,7.4,,,Zoysia 75% irrigation,inorganic,165,,,,,90,165,43.8,43.8,,26,9,365,1,0,1,0,1,,pasture,33,33,NA,NA,1939
140,this study,"Paulino-Paulino, J; Harmsen, EW; Sotomayor-Ramirez, D; Rivera, LE",Nitrate leaching under different levels of irrigation for three turfgrasses in southern Puerto Rico,2008,SCA,"Juana DÌ_az, Puerto Rico",18.01666667,-66.5,,2284,Cumulic Haplustolls,0,7.4,,,Bermuda 100% irrigation,inorganic,165,,,,,90,165,11.5,11.5,,26,9,365,1,0,1,0,1,,pasture,33,33,NA,NA,2284
141,this study,"Paulino-Paulino, J; Harmsen, EW; Sotomayor-Ramirez, D; Rivera, LE",Nitrate leaching under different levels of irrigation for three turfgrasses in southern Puerto Rico,2008,SCA,"Juana DÌ_az, Puerto Rico",18.01666667,-66.5,,2284,Cumulic Haplustolls,0,7.4,,,Centipede 100% irrigation,inorganic,165,,,,,90,165,63.7,63.7,,26,9,365,1,0,1,0,1,,pasture,33,33,NA,NA,
142,this study,"Paulino-Paulino, J; Harmsen, EW; Sotomayor-Ramirez, D; Rivera, LE",Nitrate leaching under different levels of irrigation for three turfgrasses in southern Puerto Rico,2008,SCA,"Juana DÌ_az, Puerto Rico",18.01666667,-66.5,,2284,Cumulic Haplustolls,0,7.4,,,Zoysia 100% irrigation,inorganic,165,,,,,90,165,78.8,78.8,,26,9,365,1,0,1,0,1,,pasture,33,33,NA,NA,
143,this study,"Paulino-Paulino, J; Harmsen, EW; Sotomayor-Ramirez, D; Rivera, LE",Nitrate leaching under different levels of irrigation for three turfgrasses in southern Puerto Rico,2008,SCA,"Juana DÌ_az, Puerto Rico",18.01666667,-66.5,,2634,Cumulic Haplustolls,0,7.4,,,Bermuda 125% irrigation,inorganic,165,,,,,90,165,38.8,38.8,,26,9,365,1,0,1,0,1,,pasture,33,33,NA,NA,
144,this study,"Paulino-Paulino, J; Harmsen, EW; Sotomayor-Ramirez, D; Rivera, LE",Nitrate leaching under different levels of irrigation for three turfgrasses in southern Puerto Rico,2008,SCA,"Juana DÌ_az, Puerto Rico",18.01666667,-66.5,,2634,Cumulic Haplustolls,0,7.4,,,Centipede 125% irrigation,inorganic,165,,,,,90,165,127.7,127.7,,26,9,365,1,0,1,0,1,,pasture,33,33,NA,NA,
145,this study,"Paulino-Paulino, J; Harmsen, EW; Sotomayor-Ramirez, D; Rivera, LE",Nitrate leaching under different levels of irrigation for three turfgrasses in southern Puerto Rico,2008,SCA,"Juana DÌ_az, Puerto Rico",18.01666667,-66.5,,2634,Cumulic Haplustolls,0,7.4,,,Zoysia 125% irrigation,inorganic,165,,,,,90,165,125.1,125.1,,26,9,365,1,0,1,0,1,,pasture,33,33,NA,NA,
146,this study,"Poss, R.; Saragoni, H.","Leaching of nitrate, calcium and magnesium under maize cultivation on
an oxisol in Togo",1992,SSA,"Lome, Togo",6.366666667,1.216666667,1040,1045,Ferrasol,1,5.2,80,20,,Urea,120,,,,,150,120,91,91,28,24,8,365,0,,1,0,1,,cereal,70,80,NA,1040,1045
147,this study,"Poss, R.; Saragoni, H.","Leaching of nitrate, calcium and magnesium under maize cultivation on
an oxisol in Togo",1992,SSA,"Lome, Togo",6.366666667,1.216666667,1040,1045,Ferrasol,1,5.6,80,20,,Urea,120,,,,,150,120,36,36,12,24,8,365,0,,1,0,1,,cereal,70,80,NA,1040,1045
148,this study,"Poss, R.; Saragoni, H.","Leaching of nitrate, calcium and magnesium under maize cultivation on
an oxisol in Togo",1992,SSA,"Lome, Togo",6.366666667,1.216666667,1040,1051,Ferrasol,1,5.2,78.5,20,,Urea,120,,,,,150,120,153,153,48,24,8,365,0,,1,0,1,,cereal,70,78.5,NA,1040,1051
149,this study,"Poss, R.; Saragoni, H.","Leaching of nitrate, calcium and magnesium under maize cultivation on
an oxisol in Togo",1992,SSA,"Lome, Togo",6.366666667,1.216666667,1040,1051,Ferrasol,1,5.6,78.5,20,,Urea,120,,,,,150,120,50,50,15,24,8,365,0,,1,0,1,,cereal,70,78.5,NA,1040,1051
150,this study,Russo et al. ,Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer,2017,SSA,"Yala, Kenya",0.095275,34.5349,1816,1162,Eutric Ferralsol,1,5.97,52.5,,,inorganic,0,,,,,200,0,65,65,,25,4,365,0,0,1,0,1,maize (Zea mays L.),cereal,,,,,
151,this study,Russo et al. ,Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer,2017,SSA,"Yala, Kenya",0.095275,34.5349,1816,1162,Eutric Ferralsol,1,5.97,52.5,,,inorganic,50,,,,,200,50,66,66,,25,4,365,0,0,1,0,1,maize (Zea mays L.),cereal,,,,,
152,this study,Russo et al. ,Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer,2017,SSA,"Yala, Kenya",0.095275,34.5349,1816,1162,Eutric Ferralsol,1,5.97,52.5,,,inorganic,75,,,,,200,75,40,40,,25,4,365,0,0,1,0,1,maize (Zea mays L.),cereal,,,,,
153,this study,Russo et al. ,Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer,2017,SSA,"Yala, Kenya",0.095275,34.5349,1816,1162,Eutric Ferralsol,1,5.97,52.5,,,inorganic,200,,,,,200,200,81,81,,25,4,365,0,0,1,0,1,maize (Zea mays L.),cereal,,,,,
154,this study,Russo et al. ,Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer,2017,SSA,"Yala, Kenya",0.095275,34.5349,1816,760,Eutric Ferralsol,1,5.97,52.5,,,inorganic,0,,,,,200,0,77,12,,25,4,150,0,0,1,0,1,maize (Zea mays L.),cereal,,,,,
155,this study,Russo et al. ,Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer,2017,SSA,"Yala, Kenya",0.095275,34.5349,1816,760,Eutric Ferralsol,1,5.97,52.5,,,inorganic,50,,,,,200,50,79,13,,25,4,150,0,0,1,0,1,maize (Zea mays L.),cereal,,,,,
156,this study,Russo et al. ,Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer,2017,SSA,"Yala, Kenya",0.095275,34.5349,1816,760,Eutric Ferralsol,1,5.97,52.5,,,inorganic,75,,,,,200,75,53,13,,25,4,150,0,0,1,0,1,maize (Zea mays L.),cereal,,,,,
157,this study,Russo et al. ,Leaching losses from Kenyan maize cropland receiving different rates of nitrogen fertilizer,2017,SSA,"Yala, Kenya",0.095275,34.5349,1816,760,Eutric Ferralsol,1,5.97,52.5,,,inorganic,200,,,,,200,200,95,14,,25,4,150,0,0,1,0,1,maize (Zea mays L.),cereal,,,,,
158,this study,"Sogbedji, J.M., van Es, H.M. & Agbeko, K.L.",Modeling Nitrogen Dynamics under Maize on Ferralsols in Western Africa,2006,SSA,"Lome, Togo",6.366666667,1.216666667,950,,rhodic Ferralsol,1,6,70,20,bare soil,inorganic?,60,,,,,100,60,3.7,3.7,,10,4,105,0,,1,0,1,,cereal,70,70,NA,950,0
159,this study,"Sogbedji, J.M., van Es, H.M. & Agbeko, K.L.",Modeling Nitrogen Dynamics under Maize on Ferralsols in Western Africa,2006,SSA,"Lome, Togo",6.366666667,1.216666667,950,,rhodic Ferralsol,1,6,70,20,bare soil,inorganic?,120,,,,,100,120,5.6,5.6,,10,4,105,0,,1,0,1,,cereal,70,70,NA,950,0
160,this study,"Sogbedji, J.M., van Es, H.M. & Agbeko, K.L.",Modeling Nitrogen Dynamics under Maize on Ferralsols in Western Africa,2006,SSA,"Lome, Togo",6.366666667,1.216666667,950,,rhodic Ferralsol,1,6,70,20,maize,inorganic?,60,,,,,100,60,0.3,0.3,,10,4,90,0,,1,0,1,,cereal,70,70,NA,950,0
161,this study,"Sogbedji, J.M., van Es, H.M. & Agbeko, K.L.",Modeling Nitrogen Dynamics under Maize on Ferralsols in Western Africa,2006,SSA,"Lome, Togo",6.366666667,1.216666667,950,,rhodic Ferralsol,1,6,70,20,maize,inorganic?,120,,,,,100,120,0.2,0.2,,10,4,90,0,,1,0,1,,cereal,70,70,NA,950,0
162,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,this study,Tully et al.,unpublished; available upon request,,SSA,"Tumbi, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,this study,"U. Omoti, D. O. Ataga And A. E. Isenmila",Leaching losses of nutrients in oil palm plantations determined by tension lysimeters,1983,SSA,"Benin City, Nigeria",6.33349,5.603,2000,1923,Rhodic paleudult,0,5,,,,inorganic,31.2,,,,,150,31.2,4,4,,52,6,180,0,,1,0,0,,tree crop,59,59,870,2000,1923
173,this study,"U. Omoti, D. O. Ataga And A. E. Isenmila",Leaching losses of nutrients in oil palm plantations determined by tension lysimeters,1983,SSA,"Benin City, Nigeria",6.33349,5.603,2000,1923,Rhodic paleudult,0,5,,,,inorganic,0,,,,,150,0,23,23,,52,6,180,0,,1,0,0,,tree crop,59,59,870,2000,1923
174,this study,"U. Omoti, D. O. Ataga And A. E. Isenmila",Leaching losses of nutrients in oil palm plantations determined by tension lysimeters,1983,SSA,"Benin City, Nigeria",6.33349,5.603,2000,1923,Rhodic paleudult,0,5,,,,inorganic,31.2,,,,,150,31.2,27,27,,52,6,180,0,,1,0,0,,tree crop,59,59,870,2000,1923
175,this study,"U. Omoti, D. O. Ataga And A. E. Isenmila",Leaching losses of nutrients in oil palm plantations determined by tension lysimeters,1983,SSA,"Benin City, Nigeria",6.33349,5.603,2000,1923,Rhodic paleudult,0,5,,,,inorganic,0,,,,,150,0,12,12,,52,6,180,0,,1,0,0,,tree crop,59,59,870,2000,1923
176,this study,"U. Omoti, D. O. Ataga And A. E. Isenmila",Leaching losses of nutrients in oil palm plantations determined by tension lysimeters,1983,SSA,"Benin City, Nigeria",6.33349,5.603,2000,1923,Rhodic paleudult,0,5,,,,inorganic,31.2,,,,,150,31.2,2,2,,52,6,180,0,,1,0,0,,tree crop,59,59,1439,2000,1923
177,this study,"U. Omoti, D. O. Ataga And A. E. Isenmila",Leaching losses of nutrients in oil palm plantations determined by tension lysimeters,1983,SSA,"Benin City, Nigeria",6.33349,5.603,2000,1923,Rhodic paleudult,0,5,,,,inorganic,0,,,,,150,0,344,344,,52,6,180,0,,1,0,0,,tree crop,59,59,2190,2000,1923
178,this study,"U. Omoti, D. O. Ataga And A. E. Isenmila",Leaching losses of nutrients in oil palm plantations determined by tension lysimeters,1983,SSA,"Benin City, Nigeria",6.33349,5.603,2000,1923,Rhodic paleudult,0,5,,,,inorganic,31.2,,,,,150,31.2,3,3,,52,6,180,0,,1,0,0,,tree crop,59,59,2190,2000,1923
179,this study,"van der Laan, M., Miles, N., Annandale, J.G. et al. ",Identification of opportunities for improved nitrogen management in sugarcane cropping systems using the newly developed Canegro-N model,2011,SSA,South Africa,-27,31,690,484,Ferric Luvisol,0,6.1,58,30,grass,Urea,85,,,,,120,85,26.35,26.35,,,,272,1,1147,1,1,1,,other,54,58,NA,690,1631
180,this study,"van der Laan, M., Miles, N., Annandale, J.G. et al. ",Identification of opportunities for improved nitrogen management in sugarcane cropping systems using the newly developed Canegro-N model,2011,SSA,South Africa,-27,31,690,480,Ferric Luvisol,0,6.1,58,30,grass,Urea,115,,,,,120,115,21.85,21.85,,,,322,1,1071,1,1,1,,other,54,58,NA,690,1551
181,this study,"van der Laan, M., Miles, N., Annandale, J.G. et al. ",Identification of opportunities for improved nitrogen management in sugarcane cropping systems using the newly developed Canegro-N model,2011,SSA,South Africa,-27,31,690,709,Ferric Luvisol,0,6.1,58,30,C1983,Urea,212,,,,,120,212,53,53,,,,318,1,1670,1,0,1,,other,54,58,NA,690,2379
182,this study,"Wong, M. T., Wild, A. And Juo, A. S.",Retarded leaching of nitrate measured in monolith lysimeters in southeast Nigeria,1987,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,1200,Ultisol,1,4.3,,,urea,Urea (15N),11.66058941,,,,,135,11.66058941,251,251,1.6,20,12,365,0,,1,0,0,,fallow,66,66,NA,2420,1200
183,this study,"Wong, M. T., Wild, A. And Juo, A. S.",Retarded leaching of nitrate measured in monolith lysimeters in southeast Nigeria,1987,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,1200,Ultisol,1,4.3,,165,,0,32.18322677,,,,,135,197.1832268,154,154,2,20,12,365,0,,1,0,1,,fallow,66,66,NA,2420,1200
184,this study,"Wong, M. T., Wild, A. And Juo, A. S.",Retarded leaching of nitrate measured in monolith lysimeters in southeast Nigeria,1987,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,1200,Ultisol,1,4.3,,66,,Urea,21.45548452,,,,,135,87.45548452,106,106,23.8,20,12,365,0,,1,0,0,,cereal,66,66,NA,2420,1200
185,this study,"Wong, M. T., Wild, A. And Juo, A. S.",Retarded leaching of nitrate measured in monolith lysimeters in southeast Nigeria,1987,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,1200,Ultisol,1,4.3,,,,Urea,0,,,,,135,0,133,133,11.7,20,12,365,0,,1,0,0,,rice,66,66,NA,2420,1200
186,this study,"Wong, Mtf; Vanderkruijs, Acbm; Juo, Asr","Leaching loss of calcium, magnesium, potassium and nitrate derived from soil, lime and fertilizers as influenced by urea applied to undisturbed lysimeters in south-east Nigeria",1993,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,2030,Ultisol,1,4.3,,,A1,urea,32.18322677,,,,,135,32.18322677,16.5,16.5,3.3,25,12,120,0,,1,0,1,,cereal,66,66,638,2420,2030
187,this study,"Wong, Mtf; Vanderkruijs, Acbm; Juo, Asr","Leaching loss of calcium, magnesium, potassium and nitrate derived from soil, lime and fertilizers as influenced by urea applied to undisturbed lysimeters in south-east Nigeria",1993,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,2030,Ultisol,1,4.3,,,B1,urea,32.18322677,,,,,135,32.18322677,17.3,17.3,5.9,25,12,120,0,,1,0,1,,cereal,66,66,638,2420,2030
188,this study,"Wong, Mtf; Vanderkruijs, Acbm; Juo, Asr","Leaching loss of calcium, magnesium, potassium and nitrate derived from soil, lime and fertilizers as influenced by urea applied to undisturbed lysimeters in south-east Nigeria",1993,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,2030,Ultisol,1,4.3,,,C1,urea,32.18322677,,,,,135,32.18322677,15.1,15.1,5.6,25,12,120,0,,1,0,1,,fallow,66,66,1491,2420,2030
189,this study,"Wong, Mtf; Vanderkruijs, Acbm; Juo, Asr","Leaching loss of calcium, magnesium, potassium and nitrate derived from soil, lime and fertilizers as influenced by urea applied to undisturbed lysimeters in south-east Nigeria",1993,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,2030,Ultisol,1,4.3,,,D1,urea,0,,,,,135,0,22.4,22.4,4,25,12,120,0,,1,0,1,,fallow,66,66,2215,2420,2030
190,this study,"Wong, Mtf; Vanderkruijs, Acbm; Juo, Asr","Leaching loss of calcium, magnesium, potassium and nitrate derived from soil, lime and fertilizers as influenced by urea applied to undisturbed lysimeters in south-east Nigeria",1993,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,2030,Ultisol,1,4.3,,,A2,urea,21.45548452,,,,,135,21.45548452,129,129,11,25,12,120,0,,1,0,1,,rice,66,66,2215,2420,2030
191,this study,"Wong, Mtf; Vanderkruijs, Acbm; Juo, Asr","Leaching loss of calcium, magnesium, potassium and nitrate derived from soil, lime and fertilizers as influenced by urea applied to undisturbed lysimeters in south-east Nigeria",1993,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,2030,Ultisol,1,4.3,,,B2,urea,21.45548452,,,,,135,21.45548452,125,125,9,25,12,120,0,,1,0,1,,rice,66,66,NA,2420,2030
192,this study,"Wong, Mtf; Vanderkruijs, Acbm; Juo, Asr","Leaching loss of calcium, magnesium, potassium and nitrate derived from soil, lime and fertilizers as influenced by urea applied to undisturbed lysimeters in south-east Nigeria",1993,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,2030,Ultisol,1,4.3,,,C2,urea,0,,,,,135,0,236,236,7,25,12,120,0,,1,0,1,,fallow,66,66,NA,2420,2030
193,this study,"Wong, Mtf; Vanderkruijs, Acbm; Juo, Asr","Leaching loss of calcium, magnesium, potassium and nitrate derived from soil, lime and fertilizers as influenced by urea applied to undisturbed lysimeters in south-east Nigeria",1993,SSA,"Port Harcourt, Nigeria",4.916666667,7,2420,2030,Ultisol,1,4.3,,,D2,urea,21.45548452,,,,,135,21.45548452,131,131,6,25,12,120,0,,1,0,1,,fallow,66,66,NA,2420,2030
194,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,A 01-02,calcium nitrate,,,,,,100,110,9.6,9.6,,,,365,0,0,0,,,oats,cereal,,,,,
195,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,B 01-02,calcium nitrate,,,,,,100,180,8.2,8.2,,,,365,0,0,0,,,wheat,cereal,,,,,
196,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,C 01-02,calcium nitrate,,,,,,100,180,4.1,4.1,,,,365,0,0,0,,,wheat,cereal,,,,,
197,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,A 02-03,calcium nitrate,,,,,,100,110,4.2,4.2,,,,365,0,0,0,,,oats,cereal,,,,,
198,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,B 02-03,calcium nitrate,,,,,,100,180,7,7,,,,365,0,0,0,,,wheat,cereal,,,,,
199,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,C 02-03,calcium nitrate,,,,,,100,180,7,7,,,,365,0,0,0,,,wheat,cereal,,,,,
200,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,A 03-04,calcium nitrate,,,,,,100,110,12.3,12.3,,,,365,0,0,0,,,oats,cereal,,,,,
201,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,B 03-04,calcium nitrate,,,,,,100,180,7.1,7.1,,,,365,0,0,0,,,wheat,cereal,,,,,
202,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,C 03-04,calcium nitrate,,,,,,100,180,11.6,11.6,,,,365,0,0,0,,,wheat,cereal,,,,,
203,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,A 04-05,calcium nitrate,,,,,,100,110,13.8,13.8,,,,365,0,0,0,,,oats,cereal,,,,,
204,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,B 04-05,calcium nitrate,,,,,,100,180,8.1,8.1,,,,365,0,0,0,,,wheat,cereal,,,,,
205,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,C 04-05,calcium nitrate,,,,,,100,180,4.1,4.1,,,,365,0,0,0,,,wheat,cereal,,,,,
206,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,A 05-06,calcium nitrate,,,,,,100,110,3.8,3.8,,,,365,0,0,0,,,oats,cereal,,,,,
207,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,B 05-06,calcium nitrate,,,,,,100,180,5.2,5.2,,,,365,0,0,0,,,wheat,cereal,,,,,
208,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Aronsson and Stenberg 2010,,2010,,Lanna/Sweden,58.35,13.13333333,,,,,,,,C 05-06,calcium nitrate,,,,,,100,180,4.4,4.4,,,,365,0,0,0,,,wheat,cereal,,,,,
209,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Bakhsh et al. 2010,,2010,,Iowa/U.S.A.,42.936415,-92.57117,,,,,,,,CLCD 01,urea ammonium nitrate,,,,,,120,168,13.6,13.6,,,,240,0,0,0,,,corn,cereal,,,,,
210,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Bakhsh et al. 2010,,2010,,Iowa/U.S.A.,42.936415,-92.57117,,,,,,,,CLCD 02,urea ammonium nitrate,,,,,,120,168,3,3,,,,240,0,0,0,,,corn,cereal,,,,,
211,"Zhou, Minghua, and Klaus Butterbach-Bahl. “Assessment of Nitrate Leaching Loss on a Yield-Scaled Basis from Maize and Wheat Cropping Systems.” Plant and Soil 374, no. 1–2 (January 1, 2014): 977–91. https://doi.org/10.1007/s11104-013-1876-9.
",Bakhsh et al. 2010,,2010,,Iowa/U.S.A.,42.936415,-92.57117,,,,,,,,CLCD 03,urea ammonium nitrate,,,,,,120,168,11.8,11.8,,,,240,0,0,0,,,corn,cereal,,,,,
