obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,split_app,org_Nfix_in,irrig_1_0,crop,crop_type,N2O_kg_seas,N2O_kg_seas_zero.rm,SE,approx_num_measurements,num_replicates,duration_d,tropical,N_in_kg,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
29,this study,"Agegnehu, G; Bass, AM; Nelson, PN; Bird, MI","Benefits of biochar, compost and biochar-compost for soil quality, maize yield and greenhouse gas emissions in a tropical agricultural soil",2015,O,"Tolgo, north Queensland, Australia",-17.37527778,145.7869444,1032,red Ferrosol,1,5.6,,,,,Co-composted biochar-compost (COMBI),DAP (di-ammonium phosphate) 18% N; Urea and muriate of potash and Nipro FlowPhos 13Z,150,COMBI,0.2375,,,0,1,0,,cereal,0.700356014,0.700356014,,7,3,145,1,150.2375,48,48,2162,1032
30,this study,"Aini, FK; Hergoualc'h, K; Smith, JU; Verchot, L",Nitrous oxide emissions along a gradient of tropical forest disturbance on mineral soils in Sumatra,2015,A,"Pasir Mayang, Jambi Province, Sumatra, Indonesia",-1.089861111,102.1162778,2646,oxisol suborder Xanthic Kandiudox,1,4,23,9,68,,Typical Farmer Practices,Urea,0,,,,,0,0,0,,tree crop,1.34,1.34,0.36,14,6,30,1,0,46,68,2769,2646
31,this study,"Aini, FK; Hergoualc'h, K; Smith, JU; Verchot, L",Nitrous oxide emissions along a gradient of tropical forest disturbance on mineral soils in Sumatra,2015,A,"Pasir Mayang, Jambi Province, Sumatra, Indonesia",-1.089861111,102.1162778,2646,oxisol suborder Typic Hapludox,1,4.2,73,15,12,,Typical Farmer Practices,Urea,0,,,,,0,0,0,,tree crop,1.02,1.02,0.27,14,6,30,1,0,46,12,2769,2646
32,this study,"Aini, FK; Hergoualc'h, K; Smith, JU; Verchot, L",Nitrous oxide emissions along a gradient of tropical forest disturbance on mineral soils in Sumatra,2015,A,"Pasir Mayang, Jambi Province, Sumatra, Indonesia",-1.089861111,102.1162778,2646,Inceptisol suborder Typic Dystrudept,0,4.9,28,12,60,,Nonfertilized (NFZ),Urea,33.3,"urea, kcl, tsp",46.4,Triple Super Phosphate (TSP),33.3,0,0,0,,tree crop,1.04,1.04,0.39,14,6,30,1,113,46,60,2769,2646
33,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,CF,unknown,100,,,,,0,0,1,flooded rice,CF rice,0.661953514,0.661953514,,38,24,130,1,100,36,36,1294,1294
34,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 1,unknown,100,,,,,0,0,1,flooded rice,CF rice,0.770157453,0.770157453,,38,24,130,1,100,36,36,1294,1294
35,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 2,unknown,100,,,,,0,0,1,flooded rice,NCF rice,0.808347079,0.808347079,,38,24,130,1,100,36,36,1294,1294
36,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 3,unknown,100,,,,,0,0,1,flooded rice,NCF rice,0.61739895,0.61739895,,38,24,130,1,100,36,36,1294,1294
37,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 4,unknown,100,,,,,0,0,1,flooded rice,NCF rice,0.566479449,0.566479449,,38,24,130,1,100,36,36,1294,1294
38,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 5,unknown,100,,,,,0,0,1,flooded rice,NCF rice,0.541019699,0.541019699,,38,24,130,1,100,36,36,1294,1294
33,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,CF,unknown,100,,,,,0,0,1,flooded rice,CF rice,0.661953514,0.661953514,,38,24,130,1,100,36,36,1294,1294
34,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 1,unknown,100,,,,,0,0,1,flooded rice,CF rice,0.814712017,0.814712017,,38,24,130,1,100,36,36,1294,1294
35,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 2,unknown,100,,,,,0,0,1,flooded rice,NCF rice,0.808347079,0.808347079,,38,24,130,1,100,36,36,1294,1294
36,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 3,unknown,100,,,,,0,0,1,flooded rice,NCF rice,0.623763888,0.623763888,,38,24,130,1,100,36,36,1294,1294
37,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 4,unknown,100,,,,,0,0,1,flooded rice,NCF rice,0.566479449,0.566479449,,38,24,130,1,100,36,36,1294,1294
38,this study,"Anjani Kumara,b,*, AK Nayakb, Sangita Mohantyb, BS Dasa",Greenhouse gas emission from direct seeded paddy fields under different soil water potentials in Eastern India,2016,A,"Cuttack, India",20.45194444,85.94194444,,aeric endoaquept,0,,,,,,SWP 5,unknown,100,,,,,0,0,1,flooded rice,NCF rice,0.521924886,0.521924886,,38,24,130,1,100,36,36,1294,1294
