obs,source,auth,title,yr_pub,region,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,N_in_kg,org_Nfix_in,irrig_1_0,tropical,split_app,crop,crop_type,NO_kg_seas,NO_kg_seas_zero_rm,SE,approx_num_measurements,num_replicates,duration_d,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
90,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
","Ludwig_(1994),_cited_in_Meixner_(1994)",,,,"Bavaria, Germany",48.7,12.9,,,,,,,,,,fert_nk,,,,218,,,0,,wheat,cereal,0.104,0.104,,,,60,,,,
91,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
","Ludwig_(1994),_cited_in_Meixner_(1994)",,,,"Bavaria, Germany",48.7,12.9,,,,,,,,,,fert_nk,,,,88,,,0,,wheat,cereal,0.206,0.206,,,,60,,,,
92,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,None,,,,0,,,0,,,pasture,-0.184,0.0005,,,,153,,,,
93,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,None,,,,0,,,0,,,pasture,-0.047,0.0005,,,,157,,,,
94,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,None,,,,0,,,0,,,pasture,-0.004,0.0005,,,,40,,,,
95,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,Sulphur coated urea,,,,50,,,0,,,pasture,0.132,0.132,,,,40,,,,
96,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,Sulphur coated urea,,,,200,,,0,,,pasture,0.173,0.173,,,,157,,,,
97,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,AN,,,,200,,,0,,,pasture,0.173,0.173,,,,157,,,,
98,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,AN,,,,50,,,0,,,pasture,0.248,0.248,,,,40,,,,
99,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,Urea,,,,200,,,0,,,pasture,0.314,0.314,,,,157,,,,
100,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,AN,,,,159,,,0,,,pasture,0.383,0.383,,,,153,,,,
101,"Stehfest, Elke, and Lex Bouwman. “N2O and NO Emission from Agricultural Fields and Soils under Natural Vegetation: Summarizing Available Measurement Data and Modeling of Global Annual Emissions.” Nutrient Cycling in Agroecosystems 74, no. 3 (March 2006): 207–28. https://doi.org/10.1007/s10705-006-9000-7.
",Maggiotto_et_al._(2000),,,,"Guelph, Cada",43,-80,,,,,,,,,,Sulphur coated urea,,,,150,,,0,,,pasture,0.581,0.581,,,,153,,,,
